final_classification,cbs_species_definition,primary_survey_type,taxonomic_id,taxonomic_source,kingdom,phylum,class,order,family,genus,species,rank,species_lump,species_lump_taxonomic_id
nucella lamellosa,nucella lamellosa,quadrat,404218,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Nucella,Nucella lamellosa,2,Nucella lamellosa,404218
nuttallina spp,nuttallina spp,quadrat,385576,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Nuttallina,NULL,1,Nuttallina spp,385576
nymphopsis spinosissima,nymphopsis spinosissima,quadrat,240129,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Nymphopsis,Nymphopsis spinosissimum,4,Pycnogonida,1302
obelia spp,obelia spp,point contact,117034,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,NULL,3,Obelia spp,117034
ocenebra spp,ocenebra spp,quadrat,138200,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocenebra,NULL,5,DROP,NA
ocinebrellus inornatus,ocinebrellus inornatus,quadrat,578702,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Ocinebrellus,Ocinebrellus inornatus,4,Ocinebrellus inornatus,578702
octopus spp,octopus spp,quadrat,138268,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,NULL,4,Octopus spp,138268
odonthalia floccosa f. comosa,odonthalia floccosa f. comosa,point contact,688854,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Odonthalia,Odonthalia floccosa,4,Odonthalia floccosa,372621
odonthalia floccosa,odonthalia floccosa,point contact,372621,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Odonthalia,Odonthalia floccosa,1,Odonthalia floccosa,372621
odonthalia spp,odonthalia spp,NA,143918,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Odonthalia,NULL,5,Odonthalia spp,143918
odonthalia washingtoniensis,odonthalia washingtoniensis,point contact,372622,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Odonthalia,Odonthalia washingtoniensis,3,Odonthalia washingtoniensis,372622
oedignathus inermis,oedignathus inermis,quadrat,590112,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Oedignathus,Oedignathus inermis,1,Oedignathus inermis,590112
onchidella carpenteri,onchidella borealis,quadrat,509922,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Systellommatophora,Onchidiidae,Onchidella,Onchidella carpenteri,1,Onchidella carpenteri,509922
onchidoris bilamellata,onchidoris bilamellata,quadrat,150457,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Onchidoris,Onchidoris bilamellata,3,Onchidoris bilamellata,150457
opalia funiculata,opalia funiculata,quadrat,524065,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae,Epitoniidae,Opalia,Opalia funiculata,2,Opalia funiculata,524065
opalia montereyensis,opalia montereyensis,quadrat,524080,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae,Epitoniidae,Opalia,Opalia montereyensis,4,Opalia montereyensis,524080
opalia spp,opalia spp,NA,137948,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae,Epitoniidae,Opalia,NULL,5,Opalia spp,137948
opalia wroblewskyi,opalia borealis,quadrat,524789,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Caenogastropoda incertae,Epitoniidae,Opalia,Opalia wroblewskyi,3,Opalia wroblewskyi,524789
ophionereis annulata,ophionereis annulata,quadrat,243877,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophionereididae,Ophionereis,Ophionereis annulata,4,Ophiuroidea,123084
ophiopholis aculeata,ophiopholis aculeata,quadrat,125125,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiopholidae,Ophiopholis,Ophiopholis aculeata,4,Ophiuroidea,123084
ophiothrix spiculata,ophiothrix spiculata,quadrat,244192,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Ophiotrichidae,Ophiothrix,Ophiothrix (Ophiothrix),4,Ophiuroidea,123084
ophiuroid,ophiuroid,quadrat,123084,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Ophiuroidea,NULL,NULL,NULL,NULL,3,Ophiuroidea,123084
opuntiella californica,opuntiella californica,point contact,372623,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Furcellariaceae,Opuntiella,Opuntiella californica,3,Opuntiella californica,372623
oregonia gracilis,oregonia gracilis,quadrat,442171,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia,Oregonia gracilis,3,Oregonia gracilis,442171
orienthella trilineata,orienthella trilineata,quadrat,1049566,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Coryphellidae,Orienthella,Orienthella trilineata,3,Orienthella trilineata,1049566
orthasterias koehleri,orthasterias koehleri,swath,255048,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,Orthasterias koehleri,3,Orthasterias koehleri,255048
osmundea sinicola,osmundea sinicola,point contact,374754,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,Osmundea sinicola,1,Osmundea sinicola,374754
osmundea spectabilis,osmundea spectabilis,point contact,372624,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,Osmundea spectabilis,1,Osmundea spectabilis,372624
osmundea splendens,osmundea splendens,point contact,374755,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,Osmundea splendens,3,Osmundea splendens,374755
osmundea spp,osmundea spp,point contact,143921,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,NULL,5,DROP,NA
ostrea lurida,ostrea lurida,point contact,542155,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Ostrea,Ostrea lurida,4,Ostrea lurida,542155
other brown crust,other brown crust,point contact,830,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,NULL,NULL,NULL,NULL,4,Non Coralline crust,NA
other crust,other crust,point contact,NULL,MARINe researchers: pacificrockyintertidal.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,DROP,NA
other green crust,other green crust,point contact,801,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Chlorophyta,NULL,NULL,NULL,NULL,NULL,4,Non Coralline crust,NA
other red crust,other red crust,point contact,852,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,NULL,NULL,NULL,NULL,NULL,1,Non Coralline crust,NA
other substrate,other substrate,point contact,NULL,MARINe researchers: pacificrockyintertidal.org,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,Rock,NA
oyster,oyster,point contact,215,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,NULL,NULL,4,DROP,NA
pachycheles spp,pachycheles spp,quadrat,205958,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Pachycheles,NULL,2,Pachycheles spp,205958
pachygrapsus crassipes,pachygrapsus crassipes,quadrat,395016,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,Pachygrapsus crassipes,1,Pachygrapsus crassipes,395016
pachythyone rubra,pachythyone rubra,quadrat,529582,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,Pachythyone rubra,4,Pachythyone rubra,529582
paciocinebrina circumtexta,ocenebra circumtexta,quadrat,1329755,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Paciocinebrina,Paciocinebrina circumtexta,1,Paciocinebrina circumtexta,1329755
paciocinebrina gracillima,ocenebra gracillima,quadrat,1329770,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Paciocinebrina,Paciocinebrina gracillima,4,Paciocinebrina gracillima,1329770
paciocinebrina interfossa,ocenebra interfossa,quadrat,1329778,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Paciocinebrina,Paciocinebrina interfossa,2,Paciocinebrina interfossa,1329778
paciocinebrina lurida,ocinebrina lurida,quadrat,1329756,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Paciocinebrina,Paciocinebrina lurida,3,Paciocinebrina lurida,1329756
paciocinebrina sclera,ocenebra sclera,quadrat,1329782,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Paciocinebrina,Paciocinebrina sclera,4,Paciocinebrina sclera,1329782
padina spp,padina spp,point contact,144088,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Padina,NULL,3,Padina spp,144088
pagurus beringanus,pagurus beringanus,quadrat,366657,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus beringanus,3,Pagurus beringanus,366657
pagurus caurinus,pagurus caurinus,quadrat,366667,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus caurinus,3,Pagurus caurinus,366667
pagurus granosimanus,pagurus granosimanus,quadrat,366694,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus granosimanus,2,Pagurus granosimanus,366694
pagurus hemphilli,pagurus hemphilli,quadrat,366698,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus hemphilli,3,Pagurus hemphilli,366698
pagurus hirsutiusculus,pagurus hirsutiusculus,quadrat,366699,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus hirsutiusculus,1,Pagurus hirsutiusculus,366699
pagurus samuelis,pagurus samuelis,quadrat,366786,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus samuelis,1,Pagurus samuelis,366786
pagurus spp,pagurus spp,NA,106854,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,NULL,5,Pagurus spp,106854
palmaria callophylloides,palmaria callophylloides,point contact,373914,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,Palmaria callophylloides,3,Palmaria callophylloides,373914
palmaria hecatensis,palmaria hecatensis,point contact,372625,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,Palmaria hecatensis,3,Palmaria hecatensis,372625
palmaria mollis,palmaria mollis,point contact,372626,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,Palmaria mollis,3,Palmaria mollis,372626
palmaria palmata,palmaria palmata,point contact,145771,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Palmaria,Palmaria palmata,3,Palmaria palmata,145771
panulirus interruptus,panulirus interruptus,swath,382898,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,Panulirus interruptus,3,Panulirus interruptus,382898
paradialychone ecaudata,paradialychone ecaudata,NA,558740,World Register of Marine Species:  www.marinespecies.org,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Paradialychone,Paradialychone ecaudata,5,Paradialychone ecaudata,558740
paranemertes spp,paranemertes spp,NA,122406,World Register of Marine Species:  www.marinespecies.org,Animalia,Nemertea,Hoplonemertea,Monostilifera,Neesiidae,Paranemertes,NULL,5,DROP,NA
paraxanthias taylori,paraxanthias taylori,quadrat,444329,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,Paraxanthias,Paraxanthias taylori,3,Paraxanthias taylori,444329
patiria miniata,patiria miniata,swath,382131,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Patiria miniata,3,Patiria miniata,382131
pelia tumida,pelia tumida,quadrat,441652,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pelia,Pelia tumida,4,Pelia tumida,441652
peltodoris nobilis,anisodoris nobilis,quadrat,594422,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Peltodoris,Peltodoris nobilis,3,Peltodoris nobilis,594422
peltogaster spp,peltogaster spp,quadrat,134777,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,NULL,Peltogastridae,Peltogaster,NULL,3,Peltogaster spp,134777
pelvetiopsis arborescens,pelvetiopsis arborescens,point contact,372701,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Pelvetiopsis,Pelvetiopsis arborescens,3,Pelvetiopsis arborescens/limitata,370005
pelvetiopsis californica,pelvetiopsis californica,point contact,1313566,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Pelvetiopsis,Pelvetiopsis californica,1,Pelvetiopsis californica,1313566
pelvetiopsis hybrida,pelvetiopsis hybrida,point contact,1359866,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Pelvetiopsis,Pelvetiopsis hybrida,4,Pelvetiopsis arborescens/hybrida/limitata,370005
pelvetiopsis limitata,pelvetiopsis limitata,point contact,372511,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Pelvetiopsis,Pelvetiopsis limitata,3,Pelvetiopsis arborescens/limitata,370005
pelvetiopsis spp,pelvetiopsis spp,point contact,370005,World Register of Marine Species:  www.marinespecies.org,Chromista,Ochrophyta,Phaeophyceae,Fucales,Fucaceae,Pelvetiopsis,NULL,4,Pelvetiopsis arborescens/hybrida/limitata,370005
penitella spp,penitella spp,point contact,492704,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Bivalvia,Myida,Pholadidae,Penitella,NULL,4,Penitella spp,492704
pentidotea resecata,pentidotea resecata,point contact,261978,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Pentidotea,Pentidotea resecata,4,Idotea spp/Pentidotea spp,118283
pentidotea wosnesenskii,pentidotea wosnesenskii,quadrat,261982,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Pentidotea,Pentidotea wosnesenskii,3,Idotea spp/Pentidotea spp,118283
perimangelia interfossa,clathromangelia interfossa,quadrat,434588,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,Perimangelia,Perimangelia interfossa,4,Perimangelia interfossa,434588
perophora annectens,perophora annectens,point contact,250979,World Register of Marine Species:  www.marinespecies.org,Animalia,Chordata,Ascidiacea,Phlebobranchia,Perophoridae,Perophora,Perophora annectens,4,Perophora annectens,250979
petaloconchus compactus,petaloconchus compactus,point contact,580670,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Petaloconchus,Petaloconchus compactus,3,Petaloconchus compactus,580670
petaloconchus montereyensis,petaloconchus montereyensis,point contact,549434,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Littorinimorpha,Vermetidae,Petaloconchus,Petaloconchus montereyensis,3,Petaloconchus montereyensis,549434
petrocelis,petrocelis,point contact,144163,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Mastocarpus,NULL,1,Non Coralline crust,NA
